inventory	GET	200	[{"id":1,"sku":"CLO-WHITE-SOCK-000","barcode":null,"name":"White socks- school (7pck)","description":null,"sourceCategoryCode":"CLOTHES","specificCategory":"Gen
inventory	POST	400	{"error":"Name is required."}
inventory	PUT	405	{"error":"Method not allowed"}
inventory	PATCH	400	{"error":"Product id is required."}
inventory	DELETE	400	{"error":"Product id is required."}
inventoryCounts	OPTIONS	200	
inventoryCounts	GET	200	{"rentals":28,"products":1264}
inventoryCounts	POST	405	{"error":"Method not allowed"}
inventoryCounts	PUT	405	{"error":"Method not allowed"}
inventoryCounts	PATCH	405	{"error":"Method not allowed"}
inventoryCounts	DELETE	405	{"error":"Method not allowed"}
login	OPTIONS	405	{"error":"Method not allowed"}
login	GET	405	{"error":"Method not allowed"}
login	POST	400	{"error":"Email and password are required."}
login	PUT	405	{"error":"Method not allowed"}
login	PATCH	405	{"error":"Method not allowed"}
login	DELETE	405	{"error":"Method not allowed"}
machines	OPTIONS	200	[{"id":1,"name":"Cotton candy","productId":1249,"quantity":2,"price":1500,"rate":"per head","availability":"available","category":"Kid's Party Rentals","image":
machines	GET	200	[{"id":1,"name":"Cotton candy","productId":1249,"quantity":2,"price":1500,"rate":"per head","availability":"available","category":"Kid's Party Rentals","image":
machines	POST	200	[{"id":1,"name":"Cotton candy","productId":1249,"quantity":2,"price":1500,"rate":"per head","availability":"available","category":"Kid's Party Rentals","image":
machines	PUT	200	[{"id":1,"name":"Cotton candy","productId":1249,"quantity":2,"price":1500,"rate":"per head","availability":"available","category":"Kid's Party Rentals","image":
machines	PATCH	200	[{"id":1,"name":"Cotton candy","productId":1249,"quantity":2,"price":1500,"rate":"per head","availability":"available","category":"Kid's Party Rentals","image":
machines	DELETE	200	[{"id":1,"name":"Cotton candy","productId":1249,"quantity":2,"price":1500,"rate":"per head","availability":"available","category":"Kid's Party Rentals","image":
maintenance	OPTIONS	204	
maintenance	GET	200	[]
maintenance	POST	400	{"error":"productId is required."}
maintenance	PUT	400	{"error":"Maintenance log id is required."}
maintenance	PATCH	405	{"error":"Method Not Allowed"}
maintenance	DELETE	405	{"error":"Method Not Allowed"}
managerBookings	OPTIONS	204	
managerBookings	GET	401	{"error":"Unauthorized"}
managerBookings	POST	405	{"error":"Method Not Allowed"}
managerBookings	PUT	405	{"error":"Method Not Allowed"}
managerBookings	PATCH	405	{"error":"Method Not Allowed"}
managerBookings	DELETE	405	{"error":"Method Not Allowed"}
managerLogin	OPTIONS	204	
managerLogin	GET	405	{"error":"Method Not Allowed"}
managerLogin	POST	400	{"error":"Enter a valid 6-digit PIN."}
managerLogin	PUT	405	{"error":"Method Not Allowed"}
managerLogin	PATCH	405	{"error":"Method Not Allowed"}
managerLogin	DELETE	405	{"error":"Method Not Allowed"}
managerOrders	OPTIONS	204	
managerOrders	GET	401	{"error":"Unauthorized"}
managerOrders	POST	405	{"error":"Method Not Allowed"}
managerOrders	PUT	405	{"error":"Method Not Allowed"}
managerOrders	PATCH	405	{"error":"Method Not Allowed"}
managerOrders	DELETE	405	{"error":"Method Not Allowed"}
managerTokens	OPTIONS	204	
managerTokens	GET	405	{"error":"Method Not Allowed"}
managerTokens	POST	401	{"error":"Unauthorized"}
managerTokens	PUT	405	{"error":"Method Not Allowed"}
managerTokens	PATCH	405	{"error":"Method Not Allowed"}
managerTokens	DELETE	405	{"error":"Method Not Allowed"}
marketing	OPTIONS	204	
marketing	GET	200	[]
marketing	POST	400	{"error":"Code is required."}
marketing	PUT	400	{"error":"id is required."}
marketing	PATCH	405	{"error":"Method Not Allowed"}
marketing	DELETE	405	{"error":"Method Not Allowed"}
opsHubKpis	OPTIONS	200	
opsHubKpis	GET	401	{"error":"userId is required"}
opsHubKpis	POST	405	{"error":"Method not allowed"}
opsHubKpis	PUT	405	{"error":"Method not allowed"}
opsHubKpis	PATCH	405	{"error":"Method not allowed"}
opsHubKpis	DELETE	405	{"error":"Method not allowed"}
orderStats	OPTIONS	200	{"windowDays":30,"orders":0,"revenue":0,"units":0,"bookings":1,"bookingRevenue":880,"operatingExpenses":500,"operatingExpensesWindow":500,"operatingExpensesTota
orderStats	GET	200	{"windowDays":30,"orders":0,"revenue":0,"units":0,"bookings":1,"bookingRevenue":880,"operatingExpenses":500,"operatingExpensesWindow":500,"operatingExpensesTota
orderStats	POST	200	{"windowDays":30,"orders":0,"revenue":0,"units":0,"bookings":1,"bookingRevenue":880,"operatingExpenses":500,"operatingExpensesWindow":500,"operatingExpensesTota
orderStats	PUT	200	{"windowDays":30,"orders":0,"revenue":0,"units":0,"bookings":1,"bookingRevenue":880,"operatingExpenses":500,"operatingExpensesWindow":500,"operatingExpensesTota
orderStats	PATCH	200	{"windowDays":30,"orders":0,"revenue":0,"units":0,"bookings":1,"bookingRevenue":880,"operatingExpenses":500,"operatingExpensesWindow":500,"operatingExpensesTota
orderStats	DELETE	200	{"windowDays":30,"orders":0,"revenue":0,"units":0,"bookings":1,"bookingRevenue":880,"operatingExpenses":500,"operatingExpensesWindow":500,"operatingExpensesTota
orders	OPTIONS	204	
orders	GET	401	{"error":"Unauthorized"}
orders	POST	401	{"error":"Unauthorized"}
orders	PUT	401	{"error":"Unauthorized"}
orders	PATCH	401	{"error":"Unauthorized"}
orders	DELETE	401	{"error":"Unauthorized"}
publicStats	OPTIONS	200	
publicStats	GET	200	{"inventoryCount":1292,"bookingCount":1,"orderCount":1,"updatedAt":"2026-02-27T20:15:42.764Z"}
publicStats	POST	405	{"error":"Method not allowed"}
publicStats	PUT	405	{"error":"Method not allowed"}
publicStats	PATCH	405	{"error":"Method not allowed"}
publicStats	DELETE	405	{"error":"Method not allowed"}
stock	OPTIONS	204	
stock	GET	405	{"error":"Method Not Allowed. Use POST."}
stock	POST	400	{"error":"Missing required fields: productId, type (StockIn/StockOut), and quantity."}
stock	PUT	405	{"error":"Method Not Allowed. Use POST."}
stock	PATCH	405	{"error":"Method Not Allowed. Use POST."}
stock	DELETE	405	{"error":"Method Not Allowed. Use POST."}
stockActivity	OPTIONS	200	
stockActivity	GET	200	{"months":[{"month_key":"2026-01","month_start":"2026-01-01T00:00:00.000Z","stock_in":0,"stock_out":3},{"month_key":"2023-10","month_start":"2023-10-01T00:00:00
stockActivity	POST	200	{"months":[{"month_key":"2026-01","month_start":"2026-01-01T00:00:00.000Z","stock_in":0,"stock_out":3},{"month_key":"2023-10","month_start":"2023-10-01T00:00:00
stockActivity	PUT	200	{"months":[{"month_key":"2026-01","month_start":"2026-01-01T00:00:00.000Z","stock_in":0,"stock_out":3},{"month_key":"2023-10","month_start":"2023-10-01T00:00:00
