name,description,price,type,image_url,quantity,status,sourceCategoryCode,vendorName
G-Water Pack (12 Bottles),Vendor-supplied 12-pack of chilled G-Water bottled water for events.,30.00,Party Supplies,/imgs/shopItems/img_34.png,60,available,WATER,G-Water Supplies
G-Water Pack (24 Bottles),Vendor-supplied 24-pack of chilled G-Water bottled water for events.,55.00,Party Supplies,/imgs/shopItems/img_34.png,40,available,WATER,G-Water Supplies
G-Water Single Bottle (500ml),Vendor-supplied single chilled G-Water bottle.,3.00,Party Supplies,/imgs/shopItems/img_33.png,200,available,WATER,G-Water Supplies
