CODE,DESCRIPTION, CP (BP), CP (GHC) , PRICE ,STOCK AT HAND, STOCK VALUE ,JAN,FEB,MAR,APR,MAY,JUN,JULY,AUG,SEPT,OCT,NOV,DEC,,,,image_url
,BIRTHDAY CANDLE (10), £ 0.60 , GHC  9.30 , GHC  15.00 ,3, GHC  45.00 ,,,,,,,,,,,,, GHC  -   ,3,,
45192,CBEEBIES 3 IN 1 FUN PACK,0.85,13.18,18.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,BIRTHDAY GIRL ROSETTE, £ 1.00 , GHC  15.50 , GHC  30.00 ,27, GHC  810.00 ,,,,,,,,,,,,, GHC  -   ,27,,
120206,CBEEBIES MY FIRST ALPHABET CUBE PUZZLE,0.70,10.85,18.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
72550,CBEEBIES MY FIRST PUZZLE CLOCK,2.00,31.00,35.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
96904,CBEEBIES SPELLING MATCH CARDS,2.00,31.00,30.00,0,0,,,,,,,,,,,,,0,0,,
72545,CBEEBIES TECH MAGNETIC BOARD,1.45,22.48,40.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,CELLO TAPE,, GHC  10.00 , GHC  25.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,CELLOPHANE BUNDLE ANNOINTED,, GHC  65.00 , GHC  5.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,CELLOPHANE BUNDLE MAKOLA,, GHC  -   ,,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
72540,CENTER PIECE,3.15,48.83,55.00,0,0,,,,,,,,,,,,,0,0,,
,CENTREFEED WHITE (150M) (6PK),,0.00,15.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,BLANKET, £ -   , GHC  65.00 , GHC  150.00 ,1, GHC  150.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
96867,CHARLIE THE CATERPILLAR,3.15,48.83,55.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,CHEEKY MONKEY NOTEBK A5,0.70,10.85,18.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
28714,CHILDREN ACTIVITY TABLE,,0.00,280.00,0,0,,,,,,,,,,,,,0,0,,
,BLOCKS (WOODEN 80PCS), £ 9.00 , GHC  139.50 , GHC  180.00 ,1, GHC  180.00 ,,,,,,,,,,,,, GHC  -   ,1,,/imgs/shopItems/img_27.png
,CHILDRENS APRON (CINDERELLA),1.80,27.90,30.00,0,0,,,,,,,,,,,,,0,0,,
,CHILTERN NOTEBOOK A5 RULED ANCHOR BIRD,0.70,10.85,18.00,0,0,,,,,,,,,,,,,0,0,,
,CHILTERN WOVE A5 PROJECT,0.70,10.85,18.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,CHILTERN WOVE NOTEBK FLOWERS,0.70,10.85,18.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,CHILTERN WOVE SHOPPING 6 PADS,0.70,10.85,18.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
89848,CHOPPING BOARD GLASS,,0.00,45.00,0,0,,,,,,,,,,,,,0,0,,
,BLUE AND BERTIE,, GHC  30.00 , GHC  50.00 ,1, GHC  50.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,BLUEYS MEDICAL CASE, £ 2.50 , GHC  50.00 , GHC  95.00 ,6, GHC  570.00 ,,,,,,,,,,,,,0,6, GHC  -   ,/imgs/shopItems/img_14.png
,CLEVER BLOCKS 50PCS, £ 6.00 , GHC  93.00 , GHC  150.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,/imgs/shopItems/img_29.png
,BODY MIST (TJ HUGHES UK), £ 3.00 , GHC  46.50 , GHC  75.00 ,7, GHC  525.00 ,,,,,,,,,,,,, GHC  -   ,7,,
,COCOA BUTTER LOTION (SERWA),,0.00,35.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,COLGATE JNR BUBBLE FRUIT PK12,,0.00,12.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
,BOTTLE GIFT BAG CANADA, £ 0.70 , GHC  14.00 , GHC  25.00 ,6, GHC  150.00 ,,,,,,,,,,,,, GHC  -   ,6,,
42858,COLORING AND STICKER BAG BOOK (6 PACK),0.50,7.75,10.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
129815,COLOURED DOUGH STICKS IN TUB,0.70,10.85,15.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
USA,COLOURED PENCIL TOPPERS PENT GEAR 25,1.00,15.50,24.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,BOWL WITH LID,, GHC  5.00 , GHC  10.00 ,1, GHC  10.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,BOWLS SET 5 SML UK ,, GHC  40.00 , GHC  65.00 ,1, GHC  65.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
,BROWN ENVELOPES 50,, GHC  1.00 , GHC  3.00 ,50, GHC  150.00 ,,,,,,,,,,,,, GHC  -   ,50,,
USA,COMPOSITION RULED BOOK,0.50,7.75,8.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
,BROWN PAPER ,, GHC  2.00 , GHC  5.00 ,25, GHC  125.00 ,,,,,,,,,,,,, GHC  -   ,25,,
,COOLER BAG 10L, £ 5.85 , GHC  90.68 , GHC  180.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,BUBBLE MAGIC BUBBLES PK 24, £ 4.20 , GHC  84.00 , GHC  8.00 ,24, GHC  192.00 ,,,,,,,,,,,,, GHC  -   ,24,,
,COTTON BUD DNK,, GHC  17.00 , GHC  30.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,BUBBLES ,, GHC  6.50 , GHC  15.00 ,7, GHC  105.00 ,,,,,,,,,,,,, GHC  -   ,7, GHC  -   ,/imgs/shopItems/img_12.png
,BUILDING BLOCKS IN A BOX,, GHC  120.00 , GHC  250.00 ,2, GHC  500.00 ,,,,,,,,,,,,, GHC  -   ,2,,
,BUILDING BLOCKS WOODEN,, GHC  160.00 , GHC  180.00 ,1, GHC  180.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,CRAYOLA CRAYONS GH,,0.00,18.00,0,0,,,,,,,,,,,,,0,0,,
USA,CRAYOLA CRAYONS WALMART,0.50,7.75,18.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
,CRAYON (JUMBO WILKO),1.00,15.50,18.00,0,0,,,,,,,,,,,,,0,0,,
,CRAYON CANDY (US),1.00,15.50,90.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,CRAYON SET (HOME BARGAIN),1.00,15.50,18.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,CRAYONS PRINCESS, £ 1.04 , GHC  16.12 , GHC  30.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
USA,CRAZART COLOURED PENCILS,0.50,7.75,15.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
USA,CRAZART CRAYONS,0.50,7.75,16.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
,CALCULATOR  CANADA NEW, £ 2.24 , GHC  44.80 , GHC  100.00 ,2, GHC  200.00 ,,,,,,,,,,,,, GHC  -   ,2,,
,CUP SMILEY 4PK, £ 1.00 , GHC  20.00 , GHC  30.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,CANDLE GLITTER (NUMBER 0-BLUE) 9.5CM,, GHC  -   , GHC  45.00 ,1, GHC  45.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,CUSSONS HANDWASH MOISTURISING (500ML) (6PK),1.00,15.50,20.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
71868,CUTE BABY DOCTOR SET,0.70,10.85,20.00,0,0,,,,,,,,,,,,,0,0,,
35523,CUTE BABY LYING BABYDOLL 30CM,4.85,75.18,110.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
87255,CUTLERY SET,, GHC  15.00 , GHC  30.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
113247,CANDY STRIPE PAPER BAG (BLUE), £ 0.85 , GHC  13.18 , GHC  30.00 ,1, GHC  30.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
45187,CANDY STRIPE PAPER BAG (PINK), £ 0.85 , GHC  13.18 , GHC  30.00 ,2, GHC  60.00 ,,,,,,,,,,,,, GHC  -   ,2, GHC  -   ,
,CARS MAKOLA,, GHC  6.00 , GHC  10.00 ,22, GHC  220.00 ,,,,,,,,,,,,, GHC  -   ,22, GHC  -   ,
,DINNER PLATES ANNOINTED,, GHC  32.00 , GHC  55.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,CARTOON CHARACTER TROLLEY BAGS, £ 10.00 , GHC  155.00 , GHC  250.00 ,5," GHC  1,250.00 ",,,,,,,,,,,,, GHC  -   ,5, GHC  -   ,
91648,CBEEBIES MY FIRST, £ 2.50 , GHC  38.75 , GHC  150.00 ,1, GHC  150.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,CHARACTER MASK,, GHC  -   , GHC  15.00 ,2, GHC  30.00 ,,,,,,,,,,,,, GHC  -   ,2, GHC  -   ,
,CHILDREN BOWL WITH STRAW SET,, GHC  -   , GHC  18.00 ,1, GHC  18.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
,CHRISTMAS DECO MAKOLA,, GHC  30.00 , GHC  45.00 ,2, GHC  90.00 ,,,,,,,,,,,,, GHC  -   ,2,,
,DISPOSABLE CUPS BIG ANNOINTED,, GHC  30.00 , GHC  45.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,CHRISTMAS HAIR BAND MAKOLA,, GHC  10.00 , GHC  15.00 ,5, GHC  75.00 ,,,,,,,,,,,,, GHC  -   ,5, GHC  -   ,
,DISPOSABLE FORK - SILVER, £ -   , GHC  25.00 , GHC  40.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,COCKTAIL FORK SET ANNOINTED,, GHC  2.50 , GHC  10.00 ,24, GHC  240.00 ,,,,,,,,,,,,, GHC  -   ,24, GHC  -   ,
,COLGATE TOOTHBRUSH KIDS 2+ SOFT (12PACK), £ 0.50 , GHC  7.75 , GHC  12.00 ,10, GHC  120.00 ,,,,,,,,,,,,, GHC  -   ,10, GHC  -   ,
,DISPOSABLE PLATES LARGE ,, GHC  27.00 , GHC  45.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,DISPOSABLE PLATES ROUND ANNOINTED,, GHC  30.00 , GHC  50.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,DISPOSABLE PLATES SML,,0.00,18.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
,COLOUR THERAPY PENCIL CASE AND PENCILS, £ 1.20 , GHC  24.00 , GHC  45.00 ,4, GHC  180.00 ,,,,,,,,,,,,,0,4,,
,DISPOSABLE PLATES SML ANNOINTED,, GHC  10.00 , GHC  20.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,COLOURED PENCILS, £ 0.80 , GHC  16.00 , GHC  30.00 ,11, GHC  330.00 ,,,,,,,,,,,,, GHC  -   ,11, GHC  -   ,
,DISPOSABLE SOUP BOWL SET,, GHC  7.00 , GHC  15.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,COMB, £ -   , GHC  15.00 , GHC  25.00 ,3, GHC  75.00 ,,,,,,,,,,,,, GHC  -   ,3,,
,DISPOSABLE SPOONS SILVER,,0.00,16.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
95214,COMPASS/PROTRACTOR SET, £ 3.38 , GHC  52.39 , GHC  30.00 ,1, GHC  30.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,COOL BAG STRAPPY - REDWOOD,, GHC  50.00 , GHC  85.00 ,2, GHC  170.00 ,,,,,,,,,,,,, GHC  -   ,2,,
,DOCUMENT WALLETS A4 (2PACK),0.63,9.77,6.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,COOLER BAG CANADA, £ 2.80 , GHC  56.00 , GHC  95.00 ,2, GHC  190.00 ,,,,,,,,,,,,, GHC  -   ,2,,
58514,DOUGHSET 22PCE,2.65,41.08,80.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
,COTTON BUD DNK,, GHC  17.00 , GHC  30.00 ,6, GHC  180.00 ,,,,,,,,,,,,, GHC  -   ,6,,
,DOVE WASHING SOAP DNK,, GHC  61.00 , GHC  85.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,COUNTRY CLUB FACE CLOTH (12 PACK), £ 0.60 , GHC  9.30 , GHC  10.00 ,13, GHC  130.00 ,,,,,,,,,,,,, GHC  -   ,13,,
,DRAW AND BOOK MELCOM,,0.00,20.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
87481,DRAW AND COLOR,,0.00,20.00,0,0,,,,,,,,,,,,,0,0,,
,COUNTRYCLUB FACE CLOTH PK12 ASSORTED, £ 5.99 , GHC  119.80 , GHC  20.00 ,36, GHC  720.00 ,,,,,,,,,,,,, GHC  -   ,36,,
,COUNTY STICK ON NOTES 100, £ 0.53 , GHC  11.00 , GHC  20.00 ,12, GHC  240.00 ,,,,,,,,,,,,, GHC  -   ,12,,
,CRAYOLA CANADA," ,85", GHC  17.00 , GHC  32.00 ,4, GHC  128.00 ,,,,,,,,,,,,, GHC  -   ,4, GHC  -   ,
,DUST PAN TADI,, GHC  10.00 , GHC  15.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,EASY NOTE PAD BLOCK PK12, £ 0.53 , GHC  10.00 , GHC  20.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,EMERALD FAIRY STORY BK,2.00,31.00,38.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,ENVELOPE PACK,, GHC  20.00 , GHC  30.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,CUP PLASTIC 12PCS, £ -   , GHC  15.00 , GHC  25.00 ,2, GHC  50.00 ,,,,,,,,,,,,, GHC  -   ,2,,
,ERASER (BIG),0.70,10.85,12.00,0,0,,,,,,,,,,,,,0,0,,
,CUPS (FROZEN ETC.), £ 1.00 , GHC  15.50 , GHC  15.00 ,8, GHC  120.00 ,,,,,,,,,,,,, GHC  -   ,8,,
,EURO WRAP HOLO BOTTLE BAG (12 PACK),, GHC  -   ,,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,DC ACTION FIGURE, £ 8.29 , GHC  128.50 , GHC  250.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,DESIGN BASKET MELCOM,, GHC  32.00 , GHC  55.00 ,2, GHC  110.00 ,,,,,,,,,,,,, GHC  -   ,2, GHC  -   ,
80841,EUROWRAP TISSUE PAPER 6SHTS ASSORTED,0.30,4.65,10.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
,EXERCISE BOOKS GH,,0.00,5.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,DESKTOP CALCULATOR (JUST STATIONERY), £ 1.35 , GHC  20.93 , GHC  45.00 ,1, GHC  45.00 ,,,,,,,,,,,,, GHC  -   ,1,,
62863,FACE PAINTING PARTY SET,1.00,15.50,25.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
58155,FACE PAINTING PARTY SET,1.00,15.50,20.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,FACIAL WIPES, £ 1.00 , GHC  15.50 , GHC  20.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,DIAMOND CROWN,, GHC  20.00 , GHC  45.00 ,4, GHC  180.00 ,,,,,,,,,,,,, GHC  -   ,4, GHC  -   ,
,DINNER PLATES NEW ANNOINTED SET 12 ROYAL,, GHC  21.00 , GHC  45.00 ,6, GHC  270.00 ,,,,,,,,,,,,, GHC  -   ,6,,
USA,FASHION SCHOOL BAGS, £ 13.00 , GHC  201.50 , GHC  150.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,DINNER SAUCER ANNOINTED SET 20,, GHC  26.00 , GHC  50.00 ,4, GHC  200.00 ,,,,,,,,,,,,, GHC  -   ,4, GHC  -   ,
,DINOSAUR ADVENTURES, £ 0.60 , GHC  9.30 , GHC  50.00 ,3, GHC  150.00 ,,,,,,,,,,,,, GHC  -   ,3,,
,FILE TADI,,0.00,3.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
,FINGERLINGS,3.30,51.15,78.00,0,0,,,,,,,,,,,,,0,0,,
79738,FIRST STEP TRAINING CUP ASSORTED 260ML, £ 0.70 , GHC  10.85 , GHC  20.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,FIRST STEP WALK (OLD),,0.00,250.00,0,0,,,,,,,,,,,,,0,0,,
51828,FIRST STEPS BRUSH & COMB SET,0.55,8.53,20.00,0,0,,,,,,,,,,,,,0,0,,
,DINOSAUR MODELLING CLAY, £ 2.99 , GHC  59.80 , GHC  120.00 ,1, GHC  120.00 ,,,,,,,,,,,,, GHC  -   ,1,,
12805,FIRST STEPS POP-UP STRAW BOTTLE,0.63,9.77,16.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
111044,FIRST STEPS WATERFILLED RATTLE,0.70,10.85,20.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
106249,FIRST STEPS WATERFILLED SHAPED TEETHER, £ 0.65 , GHC  10.08 , GHC  20.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,DISNEY BRACELETS, £ 1.77 , GHC  27.47 , GHC  40.00 ,4, GHC  160.00 ,,,,,,,,,,,,, GHC  -   ,4, GHC  -   ,
,DISPOSABLE CUPS BIG 2 ANNOINTED,, GHC  23.00 , GHC  55.00 ,8, GHC  440.00 ,,,,,,,,,,,,, GHC  -   ,8, GHC  -   ,
106251,FIRST WORDS & NUMBERS,0.65,10.08,20.00,0,0,,,,,,,,,,,,,0,0,,
,DISPOSABLE CUPS SML ANNOITED,, GHC  9.00 , GHC  20.00 ,4, GHC  80.00 ,,,,,,,,,,,,, GHC  -   ,4, GHC  -   ,
,FISHER PRICE CORN POPPER RATTLE[CAN],3.60,55.80,30.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
,FISHER PRICE GAME&LEARN CONTROLLER,5.00,77.50,55.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,FIVE MINUTE BIBLE STORIES,4.00,62.00,70.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,FIVE MINUTE CHRISTMAS STORIES,4.00,62.00,75.00,0,0,,,,,,,,,,,,,0,0,,
111045,FLUFFY PASTEL PENCIL CASE,0.70,10.85,12.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
,FOIL BALLOON MELCOM, ,#VALUE!,22.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
,DISPOSABLE FORK COLOURED ANNOINTED,, GHC  11.00 , GHC  25.00 ,1, GHC  25.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,DISPOSABLE PAPER CUPS ANNOINTED,, GHC  25.00 , GHC  40.00 ,2, GHC  80.00 ,,,,,,,,,,,,, GHC  -   ,2, GHC  -   ,
,DISPOSABLE PLATES SML 50,, GHC  26.00 , GHC  45.00 ,3, GHC  135.00 ,,,,,,,,,,,,, GHC  -   ,3,,
,DISPOSABLE PLATES SQUARE ANNOINTED,, GHC  27.00 , GHC  45.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,FUFU BOWL TADI SET,,0.00,6.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,FUFU BOWLS (ASANKA),,0.00,6.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,FUFU BOWLS (LARGE),,0.00,8.00,0,0,,,,,,,,,,,,,0,0,,
,FUFU BOWLS WITH DESIGN,,0.00,10.50,0,0,,,,,,,,,,,,,0,0,,
130287,FUN DOUGH SPARKLE PLAYSET AND CUTTERS,2.10,32.55,50.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,FUN STICKER ASSORTED, £ 0.30 , GHC  4.65 , GHC  12.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,DISPOSABLE SPOONS COLOURED,, GHC  15.00 , GHC  30.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
79024,DOCTORS PLAYSET, £ 1.50 , GHC  23.25 , GHC  45.00 ,4, GHC  180.00 ,,,,,,,,,,,,, GHC  -   ,4, GHC  -   ,
95224,FUN TIME RINGING PHONE,3.70,57.35,60.00,0,0,,,,,,,,,,,,,0,0,,
73423,FUN TIME SHAPE SORTER BUS,4.22,65.41,65.00,0,0,,,,,,,,,,,,,0,0,,
,FUN TIME SPINNING POPPING PALS,4.40,68.20,75.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,/imgs/shopItems/img_21.png
,DOCTORS SET IN CARRY CASE, £ 5.00 , GHC  100.00 , GHC  200.00 ,1, GHC  200.00 ,,,,,,,,,,,,, GHC  -   ,1,,
42709,FUNNY FACE DESIGNER BARREL COLOURING PENCIL, £ 4.70 , GHC  72.85 , GHC  70.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
81916,FUNNY FACE STICKERS,0.60,9.30,15.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,DOCUMENT WALLET A4 PK2, £ 0.70 , GHC  14.00 , GHC  25.00 ,6, GHC  150.00 ,,,,,,,,,,,,,0,6, GHC  -   ,
,GIANT ALPHABET FLOOR PUZZLE,3.35,51.93,50.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,/imgs/shopItems/img_15.png
,DOLL WITH 4 DRESSES, £ 2.20 , GHC  44.00 , GHC  70.00 ,2, GHC  140.00 ,,,,,,,,,,,,,0,2,,/imgs/shopItems/img_16.png
,DOT TO DOT WITH COLORING BOOK PK12, £ 6.00 , GHC  120.00 , GHC  35.00 ,12, GHC  420.00 ,,,,,,,,,,,,,0,12, GHC  -   ,
35899,GIANT NUMBER FLOOR PUZZLE,3.35,51.93,20.00,0,0,,,,,,,,,,,,,0,0,,
,DOUGH TUBS PK6 85G, £ 0.70 , GHC  10.85 , GHC  25.00 ,14, GHC  350.00 ,,,,,,,,,,,,, GHC  -   ,14,,
,GIFT BAG KENTE,, GHC  7.00 , GHC  25.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,DOVE BATH LAVENDER/RELAXING RITUAL (750ML PK 6), £ 15.49 , GHC  309.80 , GHC  95.00 ,18," GHC  1,710.00 ",,,,,,,,,,,,, GHC  -   ,18,,
,DOVE SHOWER GEL 500ML, £ 2.00 , GHC  42.00 , GHC  70.00 ,4, GHC  280.00 ,,,,,,,,,,,,, GHC  -   ,4,,
,DOVE SHOWER GEL CUCUMBER/REFRESH (500ML PK 6), £ 11.99 , GHC  239.80 , GHC  80.00 ,6, GHC  480.00 ,,,,,,,,,,,,, GHC  -   ,6,,
,GIFT BOX - SILVER 3XL, £ -   , GHC  50.00 , GHC  80.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,DOVE SHOWER GEL INVIGORATING RITUAL/AVOCADO (500ML PK 6), £ 11.99 , GHC  239.80 , GHC  80.00 ,6, GHC  480.00 ,,,,,,,,,,,,, GHC  -   ,6,,
,GIFT BOX - SILVER M, £ -   , GHC  30.00 , GHC  50.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GIFT BOX - SILVER S, £ -   , GHC  18.00 , GHC  40.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GIFT BOX - SILVER XS, £ -   , GHC  15.00 , GHC  35.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GIFT BOX (MULTI-LARGE),, GHC  11.60 , GHC  40.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GIFT BOX (MULTI-MED),, GHC  11.60 , GHC  35.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GIFT BOX (Multi-small),, GHC  11.60 , GHC  28.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GIFT BOX CHINA MALL 1,, GHC  55.00 , GHC  70.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,DRAUGHTS BOARD GAME, £ 3.00 , GHC  60.00 , GHC  95.00 ,2, GHC  190.00 ,,,,,,,,,,,,, GHC  -   ,2,,
,DRAWING PAD CANADA, £ 2.50 , GHC  50.00 , GHC  85.00 ,3, GHC  255.00 ,,,,,,,,,,,,, GHC  -   ,3,,
,DRESS UP SHOES & TIARA SET SMYTHS, £ 6.00 , GHC  93.00 , GHC  105.00 ,1, GHC  105.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,DRY FOODS CONTAINER, £ 1.00 , GHC  15.50 , GHC  30.00 ,4, GHC  120.00 ,,,,,,,,,,,,, GHC  -   ,4, GHC  -   ,
,GIFT BOX CHINA MALL 5,, GHC  30.00 , GHC  50.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GIFT BOX CHINA MALL 7,, GHC  25.00 , GHC  40.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,ENVELOPE PACK,, GHC  20.00 , GHC  35.00 ,2, GHC  70.00 ,,,,,,,,,,,,, GHC  -   ,2, GHC  -   ,
,GIFT BOX CHINA MALL BRONZE 1,, GHC  70.00 , GHC  95.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
93744,ERASER,, GHC  -   , GHC  2.00 ,55, GHC  110.00 ,,,,,,,,,,,,, GHC  -   ,55,,
USA,ERASER SET 3, £ 1.04 , GHC  16.12 , GHC  30.00 ,2, GHC  60.00 ,,,,,,,,,,,,, GHC  -   ,2,,
,GIFT BOX CHINA MALL BRONZE 4,, GHC  40.00 , GHC  60.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
22733,EUROWRAP GIANT BIRTHDAY BADGE BOYS 6, £ 0.50 , GHC  7.75 , GHC  25.00 ,2, GHC  50.00 ,,,,,,,,,,,,, GHC  -   ,2, GHC  -   ,
62652,EUROWRAP GIANT BIRTHDAY BADGE GIRLS 6, £ 0.50 , GHC  7.75 , GHC  25.00 ,1, GHC  25.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
,EUROWRAP LEOPARD PRINT SHIRT BOX (LARGE), £ 2.33 , GHC  46.60 , GHC  90.00 ,1, GHC  90.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
,EUROWRAP LEOPARD PRINT SHIRT BOX (MEDIUM), £ 2.33 , GHC  46.60 , GHC  80.00 ,1, GHC  80.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
,GIFT BOX UK LARGE  , £ 2.50 , GHC  38.75 , GHC  55.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,EUROWRAP LEOPARD PRINT SHIRT BOX (SMALL), £ 2.33 , GHC  46.60 , GHC  75.00 ,1, GHC  75.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
