permalink,media_url,caption,media_type,timestamp
https://www.instagram.com/reel/DIL0pR8ipW-/,https://scontent-iad3-2.cdninstagram.com/o1/v/t2/f2/m86/AQNp40NJ9gRw7s4etEKqAXq7w_4ytHl3k-zQY8E-ZgncU6fw_Gra_TnNx5p4HHzO081ByQr5gsG8-u16JkQykPNKyM4cBzg2_wOMDA4.mp4?_nc_cat=111&_nc_sid=5e9851&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_ohc=c4a8PBCg_voQ7kNvwF0BaGX&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6OTY2MzM4NTEyMzM4MDMyLCJ2aV91c2VjYXNlX2lkIjoxMDA5OSwiZHVyYXRpb25fcyI6MTQsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=cff19bee05ced527&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC81NjQyQUMzNjA3NEY5RjU4OEQ5M0MxMkY3MUE0QjI5Ql92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTUdqSEIxcVJVVHpsMXNDQUZwVjZld2JfdGNKYnFfRUFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAm4PGV_Ka4twMVAigCQzMsF0AszMzMzMzNGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&_nc_gid=Ey-a0Qhdy8y4bi_4FpdVeA&edm=AM6HXa8EAAAA&_nc_zt=28&oh=00_AfUZ1SYOROH30o15WP9wU036MuKdU3aQw_B6GF8-swJq2A&oe=68997518,"Looking for something? Call us, coz we just may have it☺️
.
Find us in Sakumono, at the Glorex Plaza- directly opposite the NTHC Estates
#reebspartythemes #kidsparty #giftshop #partyfavors #morefunlesshustle
#accraghana🇬🇭",VIDEO,2025-04-08 07:59:29
https://www.instagram.com/reel/DIbXRKWCWEp/,https://scontent-iad3-2.cdninstagram.com/o1/v/t2/f2/m86/AQOkY8AmWIM-HXEvboyj0Pc4Sj3Qi-W91btCOPMc0Z8VpvnF3jWFNBY6h2ykkq2sUcwe59YA3Oc_HN4K0l1ETCM47mFceGOgiznI1GE.mp4?_nc_cat=111&_nc_sid=5e9851&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_ohc=oVY-Yc9DOoAQ7kNvwEDPZJj&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNTc2LmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTYzMDE0ODAxMDk3OTI1NiwidmlfdXNlY2FzZV9pZCI6MTAwOTksImR1cmF0aW9uX3MiOjE1LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=9b1fe1805f3a6dd4&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC84RDQ1QkE3NzRBNzZFRkM0NDBGOTFBQ0ZEMDFENTg4Ml92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HQ20tRWgwU1o1TGtubkVDQU03Qk9VdkJYNUJKYnFfRUFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAm8L6Bko2n5QUVAigCQzMsF0AuIcrAgxJvGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&_nc_gid=Ey-a0Qhdy8y4bi_4FpdVeA&edm=AM6HXa8EAAAA&_nc_zt=28&oh=00_AfUvEf2fdTbNjU-MLREToPBjOWQKTiywndEbTjKKMiG7dQ&oe=68997E24,"New Week Energy✨
.
The 4-day Easter weekend is approaching, so it’s celebration time! Pass by our store for all your party needs.
.

Find us at the Glorex Plaza in Sakumono- directly opposite the NTHC Estates
#reebspartythemes #kidsparty #giftshop #partyfavors #morefunlesshustle #theynotlikeus 
#accraghana🇬🇭",VIDEO,2025-04-14 08:49:00
https://www.instagram.com/reel/DItNuQuCnDG/,https://scontent-iad3-1.cdninstagram.com/o1/v/t2/f2/m86/AQPVhsL7tC2joZ8GmX5pcRCGBOp3CQtygSXIibP0ElNbFpg6OMKtS8bvLSrLPLc0VosYpLEtA6-K__rkOgKNFBibcRnCXIHxG2tOpRU.mp4?_nc_cat=101&_nc_sid=5e9851&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_ohc=nXaf3pp61m8Q7kNvwGv-rzm&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6ODc3NTUyNDM0NTA5MzI0LCJ2aV91c2VjYXNlX2lkIjoxMDA5OSwiZHVyYXRpb25fcyI6MTksInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=36fceb3a1a8f079b&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC80ODQ1QzA3M0JDMjlEMDJEQjdGQkQ0Qjc2ODhDQUZCOV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HR0swUGgxUXVfY2xfZzRPQU5LbGtFd1lGbDRHYnFfRUFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmmNiLkqOIjwMVAigCQzMsF0AziHKwIMScGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&_nc_zt=28&oh=00_AfV9hqDc7zMWrL3j99KWxYYkeIM9LzNK3y4a-26hJWjGEQ&oe=68997FF2,"Our mood for a booked and busy holiday weekend
.

Find us at the Glorex Plaza in Sakumono- directly opposite the NTHC Estates
#reebspartythemes #kidsparty #giftshop #partyfavors #partyrentals #morefunlesshustle #fyp #foryoupage 
#accraghana🇬🇭",VIDEO,2025-04-21 07:12:05
