name,description,price,type,image_url,quantity,status
vtech Spin & Learn Color Flashlight,"Learning is colorful with the Spin & Learn Color Flashlight® by VTech®! Press the adorable turtle button on the chunky handle in flashlight mode to use just like a real flashlight.",280.00,Kid's Toys,/imgs/shopItems/img_1.png,10,available
Number Foil Balloon,"Perfect for birthdays, anniversaries, graduations, and milestone celebrations. Durable and easy to inflate with air or helium.",50.00,Party Supplies,/imgs/shopItems/img_25.png,25,available
Johnson's® Baby Cotton Buds,"200 pieces. Plastic-free. Recyclable packaging. 100% pure cotton tips and 100% paper sticks.",50.00,Household Supplies,/imgs/shopItems/img_30.png,40,available
Montoy Slime Bave (100g),"Feels and Stretches like real bubble gum.",150.00,Kid's Toys,/imgs/shopItems/img_24.png,15,available
Shredded Tissue Paper,"Enhance your gift wrapping with premium shredded tissue paper, ideal for birthdays, weddings, parties, and special events.",30.00,Party Supplies,/imgs/shopItems/img_28.png,100,available
Lexibook Premium Stereo Headphones,"Safe volume for kids, designed for comfort and style.",300.00,Kid's Toys,/imgs/shopItems/img_7.png,12,available
